subject,predicate,object,target,relation,novelty
boy,sweep,sweat,sweat,locatum_out,established
crop,compete,weed,weed,locatum_out,established
baby,receive,milk,baby,locatum_out,established
Court,demonstrate,milk,milk,locatum_out,established
Kino,shake,head,head,locatum_out,established
friend,raise,head,head,locatum_out,established
friend,raise,head,head,locatum_out,established
river,catch,fish,fish,locatum_out,established
t,keep,fish,fish,locatum_out,established
one,suck,dust,dust,locatum_out,established
Theodore,tear,head,tear,locatum_out,established
brother,take,standard,hand,locatum_out,established
brother,take,standard,hand,locatum_out,established
doctor,take,bone,doctor,locatum_out,established
Observatory,blow,top,top,locatum_out,established
worker,cut,head,head,locatum_out,established
Mugorewera,say,milk,milk,locatum_out,established
Winn,remove,fish,fish,locatum_out,established
protester,fire,stone,fire,locatum_out,established
Ferb,save,fish,fish,locatum_out,established
cord,protect,brain,brain,locatum_out,established
truck,collect,milk,truck,locatum_out,established
actor,learn,part,script,locatum_out,established
actor,learn,part,script,locatum_out,established
half,take,wind,wind,locatum_out,established
tulkas,remove,scale,scale,locatum_out,established
snake,inherit,scale,snake,locatum_out,established
snake,inherit,scale,snake,locatum_out,established
Stinkbugs,suck,juice,juice,locatum_out,established
child,receive,measure,child,locatum_out,established
elephant,sway,head,head,locatum_out,established
Mallin,stick,head,head,locatum_out,established
name,show,criterion,name,locatum_out,established
heat,burn,skin,skin,locatum_out,established
heat,burn,skin,skin,locatum_out,established
military,say,shell,shell,locatum_out,established
shark,move,head,head,locatum_out,established
Mary,direct,milk,milk,locatum_out,established
guest,rip,head,head,locatum_out,established
wife,raise,head,wife,locatum_out,established
wife,raise,head,wife,locatum_out,established
Syrians,raise,head,head,locatum_out,established
body,protect,brain,brain,locatum_out,established
body,protect,brain,brain,locatum_out,established
summer,breathe,dust,summer,locatum_out,established
pathologist,remove,brain,brain,locatum_out,established
garage,saw,head,garage,locatum_out,established
vitamin,protect,skin,skin,locatum_out,established
fabric,absorb,sweat,sweat,locatum_out,established
fabric,absorb,sweat,sweat,locatum_out,established
i,hold,head,head,locatum_out,established
acid,protect,skin,skin,locatum_out,established
ibis,raise,head,head,locatum_out,established
end,flip,top,top,locatum_out,established
help,protect,skin,skin,locatum_out,established
Janet,wipe,sweat,sweat,locatum_out,established
lemon,drink,juice,juice,locatum_out,established
assistance,guarantee,skin,skin,locatum_out,established
participant,clear,dust,dust,locatum_out,established
participant,clear,dust,dust,locatum_out,established
Amy,put,head,head,locatum_out,established
guerrilla,chop,head,head,locatum_out,established
guerrilla,chop,head,head,locatum_out,established
fisherman,take,fish,fish,locatum_out,established
fisherman,take,fish,fish,locatum_out,established
helmet,protect,head,head,locatum_out,established
child,drink,milk,child,locatum_out,established
trade,take,fish,fish,locatum_out,established
man,lean,head,man,locatum_out,established
man,lean,head,man,locatum_out,established
swell,roll,wind,wind,locatum_out,established
lactate,protect,skin,skin,locatum_out,established
fisherman,harvest,fish,fish,locatum_out,established
fisherman,harvest,fish,fish,locatum_out,established
fisherman,sell,fish,fish,locatum_out,established
hour,carry,dust,dust,locatum_out,established
God,remove,scale,scale,locatum_out,established
Corthala,lift,head,head,locatum_out,established
employee,stick,head,head,locatum_out,established
employee,stick,head,head,locatum_out,established
doctor,disconnect,intestine,doctor,locatum_out,established
doctor,disconnect,intestine,doctor,locatum_out,established
dice,roll,top,dice,locatum_out,established
system,bring,wind,wind,locatum_out,established
sock,move,perspiration,foot,locatum_out,established
sock,move,perspiration,foot,locatum_out,established
Romero,pull,weed,weed,locatum_out,established
Keller,pull,bone,bone,locatum_out,established
face,protect,skin,face,locatum_out,established
face,protect,skin,face,locatum_out,established
form,remove,stone,form,locatum_out,established
Joe,lift,head,head,locatum_out,established
winter,keep,wind,winter,locatum_out,established
winter,keep,wind,winter,locatum_out,established
Tesco,import,milk,milk,locatum_out,established
Requiem,turn,head,head,locatum_out,established
President,lay,stone,stone,locatum_out,established
President,lay,stone,stone,locatum_out,established
worker,spray,milk,milk,locatum_out,established
worker,spray,milk,milk,locatum_out,established
Sunscreen,keep,skin,skin,locatum_out,established
farmer,move,milk,milk,locatum_out,established
priest,wipe,sweat,priest,locatum_out,established
model,envisage,scale,model,locatum_out,established
model,envisage,scale,model,locatum_out,established
dairy,cow,milk,dairy,locatum_out,established
Museum,remove,insect,room,locatum_out,established
Museum,remove,insect,room,locatum_out,established
challenge,shake,dust,dust,locatum_out,established
drive,lift,head,head,locatum_out,established
drive,lift,head,head,locatum_out,established
stylesheet,use,core,core,locatum_out,established
People,use,wood,tree,locatum_out,established
mother,receive,milk,mother,locatum_out,established
hoard,cut,head,hoard,locatum_out,established
hoard,cut,head,hoard,locatum_out,established
juicer,extract,juice,juice,locatum_out,established
Ken,run,head,head,locatum_out,established
cockatoo,snip,head,head,locatum_out,established
police,order,drink,police,locatum_out,established
Princess,raise,head,head,locatum_out,established
Princess,raise,head,head,locatum_out,established
substance,protect,skin,skin,locatum_out,established
substance,protect,skin,skin,locatum_out,established
player,shake,dust,dust,locatum_out,established
hand,select,standard,hand,locatum_out,established
scientist,follow,fish,fish,locatum_out,established
scientist,follow,fish,fish,locatum_out,established
Moscow,cover,region,cover,locatum_out,established
fishery,capture,fish,fish,locatum_out,established
cream,protect,skin,cream,locatum_out,established
Boyd,lift,head,head,locatum_out,established
rito,receive,scale,scale,locatum_out,established
Miyagi,shake,head,head,locatum_out,established
Rylatha,shake,dust,dust,locatum_out,established
logger,harvest,wood,tree,locatum_out,established
juicer,extract,juice,juice,locatum_out,established
juicer,extract,juice,juice,locatum_out,established
people,attend,set,people,locatum_out,established
reminiscing,set,Technicolor,author,locatum_out,established
reminiscing,set,Technicolor,author,locatum_out,established
child,perform,part,child,locatum_out,established
Hopkins,serve,brain,brain,locatum_out,established
Amy,lift,head,head,locatum_out,established
Mayze,wipe,sweat,sweat,locatum_out,established
slave,rub,sweat,slave,locatum_out,established
slave,rub,sweat,slave,locatum_out,established
settler,clear,stone,stone,locatum_out,established
course,stick,head,head,locatum_out,established
process,remove,scale,scale,locatum_out,established
Sam,nod,head,head,locatum_out,established
Onny,throw,head,head,locatum_out,established
hurler,kick,dust,dust,locatum_out,established
energy,save,measure,list,locatum_out,established
researcher,analyse,milk,milk,locatum_out,established
researcher,analyse,milk,milk,locatum_out,established
former,see,wood,tree,locatum_out,established
eagle,snatch,fish,fish,locatum_out,established
ingredient,protect,skin,skin,locatum_out,established
model,require,secretion,model,locatum_out,established
Jimmy,wipe,sweat,sweat,locatum_out,established
animal,lift,head,head,locatum_out,established
animal,lift,head,head,locatum_out,established
acid,protect,skin,skin,locatum_out,established
jarbua,remove,scale,scale,locatum_out,established
Hiro,remove,scale,scale,locatum_out,established
King,collect,wood,forest,locatum_out,established
cirr,wipe,sweat,sweat,locatum_out,established
people,take,part,people,locatum_out,established
helmet,protect,head,head,locatum_out,established
helmet,protect,head,head,locatum_out,established
model,represent,region,model,locatum_out,established
student,use,wood,tree,locatum_out,established
increase,mean,skin,skin,locatum_out,established
freeze,prevent,fish,fish,locatum_out,established
film,protect,foodstuff,film,locatum_out,established
film,protect,foodstuff,film,locatum_out,established
artist,use,wood,tree,locatum_out,established
hand,pick,wood,hand,locatum_out,established
Perch,track,fish,track,locatum_out,established
child,enter,wood,child,locatum_out,established
bartender,sip,head,head,locatum_out,established
hand,pick,part,hand,locatum_out,established
Perch,track,fish,track,locatum_out,established
juicer,separate,juice,juice,locatum_out,established
bartender,sip,head,head,locatum_out,established
Nina,lick,juice,juice,locatum_out,established
wind,cause,dust,wind,locatum_out,established
Melanin,protect,skin,skin,locatum_out,established
Ant,turn,head,head,locatum_out,established
article,feature,part,partner,locatum_out,established
defendant,take,juice,juice,locatum_out,established
Naomi,grab,juice,juice,locatum_out,established
Bush,remove,head,head,locatum_out,established
Karen,choose,fish,fish,locatum_out,established
woman,cover,head,cover,locatum_out,established
user,move,head,head,locatum_out,established
user,move,head,head,locatum_out,established
people,raise,head,people,locatum_out,established
strength,disconnect,head,head,locatum_out,established
child,get,lice,child,locatum_out,established
child,get,lice,child,locatum_out,established
blade,pound,wind,wind,locatum_out,established
LionPower,tear,head,tear,locatum_out,established
PE,protect,brain,brain,locatum_out,established
Cheval,carry,stone,stone,locatum_out,established
Kachunga,complete,set,spot,locatum_out,established
fabric,keep,wind,wind,locatum_out,established
Kuryla,pull,fish,fish,locatum_out,established
kitten,drink,milk,kitten,locatum_out,established
deer,take,fish,fish,locatum_out,established
deer,take,fish,fish,locatum_out,established
man,remove,head,man,locatum_out,established
mouth,pull,head,mouth,locatum_out,established
mouth,pull,head,mouth,locatum_out,established
Kasturi,wipe,sweat,sweat,locatum_out,established
Koreans,consume,fish,fish,locatum_out,established
operator,keep,head,head,locatum_out,established
water,burn,skin,water,locatum_out,established
Gunpowder,shove,head,head,locatum_out,established
hospital,take,skin,skin,locatum_out,established
hospital,take,skin,skin,locatum_out,established
supermarket,sell,milk,milk,locatum_out,established
sanctuary,turn,head,head,locatum_out,established
operator,wipe,sweat,sweat,locatum_out,established
operator,wipe,sweat,sweat,locatum_out,established
gopis,take,dust,dust,locatum_out,established
gopi,take,dust,dust,locatum_out,established
streetview,cut,top,top,locatum_out,established
Sushruta,transpose,skin,skin,locatum_out,established
fabric,absorb,sweat,sweat,locatum_out,established
Fenrir,lift,head,head,locatum_out,established
whine,remove,head,head,locatum_out,established
Education,name,standard,name,locatum_out,established
paper,contain,part,paper,locatum_out,established
paper,contain,part,paper,locatum_out,established
wind,take,top,wind,locatum_out,established
god,turn,head,head,locatum_out,established
wife,buy,fish,wife,locatum_out,established
wife,buy,fish,wife,locatum_out,established
Taal,take,bone,bone,locatum_out,established
friendliness,rear,head,head,locatum_out,established
council,roll,stone,stone,locatum_out,established
Siuyu,shake,head,head,locatum_out,established
tongue,press,milk,tongue,locatum_out,established
tongue,press,milk,tongue,locatum_out,established
human,rip,rock,ground,locatum_out,established
brick,hit,head,brick,locatum_out,established
child,inhale,dust,child,locatum_out,established
scientist,track,plume,track,locatum_out,established
winter,chap,skin,winter,locatum_out,established
village,switch,gear,ski,locatum_out,established
hood,protect,head,head,locatum_out,established
baby,suck,milk,baby,locatum_out,established
Nami,use,dust,dust,locatum_out,established
earring,take,drink,water,locatum_out,established
body,protect,fish,fish,locatum_out,established
substance,protect,skin,skin,locatum_out,established
substance,protect,skin,skin,locatum_out,established
quality,smoke,fish,smoke,locatum_out,established
medium,remove,head,head,locatum_out,established
foal,need,milk,milk,locatum_out,established
challenge,shake,dust,dust,locatum_out,established
breakfast,pour,milk,milk,locatum_out,established
lady,blow,dust,dust,locatum_out,established
hawk,take,drink,water,locatum_out,established
glen,remove,stone,stone,locatum_out,established
glen,remove,stone,stone,locatum_out,established
God,take,bone,bone,locatum_out,established
auto,turn,part,auto,locatum_out,established
lotion,save,skin,skin,locatum_out,established
sniper,take,head,head,locatum_out,established
sniper,take,head,head,locatum_out,established
feline,shake,head,head,locatum_out,established
feline,shake,head,head,locatum_out,established
PIT,tag,fish,tag,locatum_out,established
Dard,brush,dust,brush,locatum_out,established
snake,raise,head,snake,locatum_out,established
snake,raise,head,snake,locatum_out,established
child,clear,weed,child,locatum_out,established
child,clear,weed,child,locatum_out,established
pigmentation,prevent,skin,skin,locatum_out,established
Leon,offer,stone,stone,locatum_out,established
ray,trigger,skin,skin,locatum_out,established
fruit,prevent,skin,skin,locatum_out,established
fruit,prevent,skin,skin,locatum_out,established
family,sell,milk,milk,locatum_out,established
cub,suckle,milk,cub,locatum_out,established
Center,knock,criterion,foot,locatum_out,established
people,buy,ammo,people,locatum_out,established
food,contain,fish,fish,locatum_out,established
boy,nod,head,head,locatum_out,established
boy,nod,head,head,locatum_out,established
hand,pick,stone,hand,locatum_out,established
customer,see,wood,tree,locatum_out,established
customer,see,wood,tree,locatum_out,established
Homer,throw,head,head,locatum_out,established
Prufrock,get,milk,milk,locatum_out,established
import,powder,milk,powder,locatum_out,established
cover,protect,wood,cover,locatum_out,established
people,bring,wood,people,locatum_out,established
people,bring,wood,people,locatum_out,established
palomare,gather,shell,shell,locatum_out,established
lady,stick,head,head,locatum_out,established
lady,stick,head,head,locatum_out,established
enterprise,buy,fish,fish,locatum_out,established
UPF,protect,skin,skin,locatum_out,established
bug,rear,head,bug,locatum_out,established
ass,get,milk,milk,locatum_out,established
ass,get,milk,milk,locatum_out,established
head,bear,insect,head,locatum_out,established
Ravarian,wipe,sweat,sweat,locatum_out,established
farmer,remove,rock,pasture,locatum_out,established
Jon,wipe,sweat,sweat,locatum_out,established
Cara,take,fish,fish,locatum_out,established
People,borrow,wood,neighbor,locatum_out,established
kid,get,lice,school,locatum_out,established
kid,get,lice,school,locatum_out,established
bottom,protect,shell,shell,locatum_out,established
Shampoo,poke,head,head,locatum_out,established
fighter,fire,shell,fire,locatum_out,established
people,clean,weed,people,locatum_out,established
engineer,stick,head,head,locatum_out,established
engineer,stick,head,head,locatum_out,established
class,take,part,school,locatum_out,established
misses,miss,wood,tree,locatum_out,established
team,study,scale,scale,locatum_out,established
team,study,scale,scale,locatum_out,established
problem,rear,head,head,locatum_out,established
problem,rear,head,head,locatum_out,established
Arafinwë,lift,head,head,locatum_out,established
Findis,lift,head,head,locatum_out,established
Findis,lift,head,head,locatum_out,established
restaurant,buy,fish,fish,locatum_out,established
David,take,stone,stone,locatum_out,established
Sam,choose,shell,shell,locatum_out,established
robot,turn,head,head,locatum_out,established
rainfor,shake,dust,dust,locatum_out,established
rainforest,shake,dust,dust,locatum_out,established
People,want,milk,milk,locatum_out,established
duck,pluck,feather,duck,locatum_out,established
Jan,land,fish,land,locatum_out,established
child,bring,insect,child,locatum_out,established
deer,lift,head,head,locatum_out,established
deer,lift,head,head,locatum_out,established
Amale,take,milk,milk,locatum_out,established
Bryce,turn,head,head,locatum_out,established
villager,throw,stone,stone,locatum_out,established
bird,get,fish,fish,locatum_out,established
bird,get,fish,fish,locatum_out,established
bird,get,fish,fish,locatum_out,established
bird,get,fish,fish,locatum_out,established
America,drop,fish,fish,locatum_out,established
motion,remove,dust,dust,locatum_out,established
cub,drink,milk,cub,locatum_out,established
cub,drink,milk,cub,locatum_out,established
Mercurio,wipe,sweat,sweat,locatum_out,established
doctor,twist,head,doctor,locatum_out,established
Jon,lift,head,head,locatum_out,established
Channel,report,wind,wind,locatum_out,established
mussel,remove,beard,beard,locatum_out,established
mussel,remove,beard,beard,locatum_out,established
wife,raise,head,wife,locatum_out,established
wife,raise,head,wife,locatum_out,established
worker,break,head,head,locatum_out,established
worker,break,head,head,locatum_out,established
doctor,cock,head,doctor,locatum_out,established
doctor,cock,head,doctor,locatum_out,established
oil,protect,skin,oil,locatum_out,established
oil,protect,skin,oil,locatum_out,established
Bob,turn,head,head,locatum_out,established
weapon,melt,skin,skin,locatum_out,established
team,sample,fish,fish,locatum_out,established
larvae,enter,skin,skin,locatum_out,established
man,transport,fish,man,locatum_out,established
Lindir,flick,bur,bur,locatum_out,established
wire,trigger,stone,wire,locatum_out,established
barrier,protect,brain,brain,locatum_out,established
Jonathan,wipe,sweat,sweat,locatum_out,established
Jonathan,wipe,sweat,sweat,locatum_out,established
Crabb,wipe,sweat,sweat,locatum_out,established
assist,recover,skin,skin,locatum_out,established
raider,send,brain,brain,locatum_out,established
crew,win,drink,cup,locatum_out,established
Baineth,wipe,sweat,sweat,locatum_out,established
Thranduil,kiss,head,head,locatum_out,established
terra,wipe,sweat,sweat,locatum_out,established
Ivan,lift,head,head,locatum_out,established
author,trace,region,author,locatum_out,established
author,trace,region,author,locatum_out,established
Ginny,raise,head,head,locatum_out,established
friary,dislodge,stone,stone,locatum_out,established
Liesa,fish,head,fish,locatum_out,established
Dearka,take,fish,fish,locatum_out,established
God,take,dust,dust,locatum_out,established
bird,eat,fish,fish,locatum_out,established
bird,eat,fish,fish,locatum_out,established
woman,shelter,head,shelter,locatum_out,established
cinch,shield,head,head,locatum_out,established
Ceorl,wipe,sweat,sweat,locatum_out,established
fingernail,bite,skin,skin,locatum_out,established
fingernail,bite,skin,skin,locatum_out,established
Jane,roll,head,head,locatum_out,established
Wendy,thrash,head,head,locatum_out,established
Aisah,lift,head,head,locatum_out,established
C,regenerate,skin,skin,locatum_out,established
artist,use,wood,tree,locatum_out,established
hand,carve,head,hand,locatum_out,established
surgeon,withdraw,head,head,locatum_out,established
surgeon,withdraw,head,head,locatum_out,established
Chapman,clear,weed,weed,locatum_out,established
insect,suck,juice,juice,locatum_out,established
member,use,milk,milk,locatum_out,established
oil,protect,skin,oil,locatum_out,established
Bergel,remove,weed,weed,locatum_out,established
Raisin,gather,sweat,sweat,locatum_out,established
Raisin,gather,sweat,sweat,locatum_out,established
student,taste,milk,milk,locatum_out,established
boundary,separate,nucleus,boundary,locatum_out,established
community,buy,fish,fish,locatum_out,established
place,get,milk,milk,locatum_out,established
place,get,milk,milk,locatum_out,established
guy,stick,head,head,locatum_out,established
Frenkel,sculpt,head,head,locatum_out,established
scientist,prove,dust,dust,locatum_out,established
purpose,remove,skin,skin,locatum_out,established
purpose,remove,skin,skin,locatum_out,established
Jimmy,thrash,head,head,locatum_out,established
Jimmy,turn,head,head,locatum_out,established
Ransome,carry,stone,stone,locatum_out,established
Bob,turn,head,head,locatum_out,established
Jimmy,thrash,head,head,locatum_out,established
Jimmy,turn,head,head,locatum_out,established
people,cut,top,people,locatum_out,established
CF,upgrade,wind,wind,locatum_out,established
serum,protect,skin,skin,locatum_out,established
service,get,milk,milk,locatum_out,established
service,get,milk,milk,locatum_out,established
President,lay,stone,stone,locatum_out,established
President,lay,stone,stone,locatum_out,established
Romans,extract,stone,stone,locatum_out,established
Romans,extract,stone,stone,locatum_out,established
duck,strain,invertebrate,duck,locatum_out,established
horizon,lift,skin,skin,locatum_out,established
horizon,lift,skin,skin,locatum_out,established
Perch,track,fish,track,locatum_out,established
Winston,buy,stone,stone,locatum_out,established
worker,collect,husk,husk,locatum_out,established
sequence,take,wind,sequence,locatum_out,established
bird,flag,head,flag,locatum_out,established
Raven,tear,feather,tear,locatum_out,established
cashier,poke,head,head,locatum_out,established
cashier,poke,head,head,locatum_out,established
AMPI,move,milk,milk,locatum_out,established
IDA,pay,scale,scale,locatum_out,established
geek,bite,head,head,locatum_out,established
industry,blow,brain,brain,locatum_out,established
industry,blow,brain,brain,locatum_out,established
man,carry,stone,man,locatum_out,established
head,hit,wood,head,locatum_out,established
Karo,lift,head,head,locatum_out,established
mix,include,dust,dust,locatum_out,established
Mitch,wipe,sweat,sweat,locatum_out,established
Kathryn,turn,head,head,locatum_out,established
fear,sweep,wind,wind,locatum_out,established
surgeon,use,skin,skin,locatum_out,established
act,strip,skin,skin,locatum_out,established
Kelly,lift,head,head,locatum_out,established
Bob,bite,head,head,locatum_out,established
sailor,take,measure,ship,locatum_out,established
sailor,take,measure,ship,locatum_out,established
royal,save,skin,skin,locatum_out,established
Mud,protect,skin,skin,locatum_out,established
Barak,wipe,sweat,sweat,locatum_out,established
E,protect,skin,skin,locatum_out,established
Lord,lift,scale,scale,locatum_out,established
Lord,lift,scale,scale,locatum_out,established
i,collect,milk,milk,locatum_out,established
fish,take,skin,fish,locatum_out,established
fish,take,skin,fish,locatum_out,established
Lord,sever,head,head,locatum_out,established
Lord,sever,head,head,locatum_out,established
captain,take,drink,captain,locatum_out,established
captain,take,drink,captain,locatum_out,established
people,rob,milk,people,locatum_out,established
audience,see,set,see,locatum_out,established
Owl,steal,fish,fish,locatum_out,established
doctor,remove,skin,doctor,locatum_out,established
doctor,remove,skin,doctor,locatum_out,established
neck,distinguish,head,head,locatum_out,established
neck,distinguish,head,head,locatum_out,established
oyster,build,shell,shell,locatum_out,established
Caldicott,brush,sweat,brush,locatum_out,established
Rachel,drink,milk,milk,locatum_out,established
girl,clean,juice,juice,locatum_out,established
nothing,protect,os,bug,locatum_out,established
blade,take,skin,skin,locatum_out,established
eagle,turn,head,head,locatum_out,established
eagle,turn,head,head,locatum_out,established
baby,suck,milk,baby,locatum_out,established
baby,suck,milk,baby,locatum_out,established
Matthew,blow,dust,dust,locatum_out,established
Zag,lift,head,head,locatum_out,established
baby,protect,scalp,baby,locatum_out,established
Liz,turn,head,head,locatum_out,established
daddy,rear,head,head,locatum_out,established
pedestrian,shake,head,head,locatum_out,established
pedestrian,shake,head,head,locatum_out,established
radiation,burn,skin,skin,locatum_out,established
radiation,burn,skin,skin,locatum_out,established
restaurant,serve,fish,fish,locatum_out,established
child,stand,dust,child,locatum_out,established
child,stand,dust,child,locatum_out,established
mark,line,flesh,flesh,locatum_out,novel
burn,take,flesh,flesh,locatum_out,novel
shell,scrape,flesh,flesh,locatum_out,novel
church,include,member,church,locatum_out,novel
church,include,member,church,locatum_out,novel
elephant,tear,bark,bark,locatum_out,novel
tomato,grow,root,tomato,locatum_out,novel
energy,rip,flesh,flesh,locatum_out,novel
surgeon,cut,flesh,flesh,locatum_out,novel
surgeon,cut,flesh,flesh,locatum_out,novel
fisherman,remove,fin,fin,locatum_out,novel
grass,emerge,stem,stem,locatum_out,novel
implementation,include,fiber,head,locatum_out,novel
Alliance,compile,figure,office,locatum_out,novel
i,burn,flesh,flesh,locatum_out,novel
mark,line,flesh,flesh,locatum_out,novel
burn,take,flesh,flesh,locatum_out,novel
shell,scrape,flesh,flesh,locatum_out,novel
church,include,member,church,locatum_out,novel
church,include,member,church,locatum_out,novel
elephant,tear,bark,bark,locatum_out,novel
tomato,grow,root,tomato,locatum_out,novel
energy,rip,flesh,flesh,locatum_out,novel
surgeon,cut,flesh,flesh,locatum_out,novel
surgeon,cut,flesh,flesh,locatum_out,novel
fisherman,remove,fin,fin,locatum_out,novel
grass,emerge,stem,stem,locatum_out,novel
implementation,include,fiber,head,locatum_out,novel
Alliance,compile,figure,office,locatum_out,novel
i,burn,flesh,flesh,locatum_out,novel
people,eat,bark,bark,locatum_out,novel
Christ,receive,flesh,flesh,locatum_out,novel
blade,remove,lint,lint,locatum_out,novel
process,remove,material,site,locatum_out,novel
elephant,strip,bark,bark,locatum_out,novel
elephant,strip,bark,bark,locatum_out,novel
officer,identify,fin,fin,locatum_out,novel
government,remove,material,web,locatum_out,novel
fisherman,cut,fin,fin,locatum_out,novel
organization,roll,stuff,roll,locatum_out,novel
case,show,material,case,locatum_out,novel
case,show,material,case,locatum_out,novel
Koch,use,material,case,locatum_out,novel
union,serve,member,office,locatum_out,novel
collection,showcase,material,showcase,locatum_out,novel
collection,showcase,material,showcase,locatum_out,novel
procedure,include,stem,stem,locatum_out,novel
site,contain,material,site,locatum_out,novel
site,contain,material,site,locatum_out,novel
medium,buy,stem,stem,locatum_out,novel
ether,tear,limb,limb,locatum_out,novel
Packers,take,hide,hide,locatum_out,novel
Packers,take,hide,hide,locatum_out,novel
bird,peck,flesh,flesh,locatum_out,novel
office,join,member,office,locatum_out,novel
offerer,strip,hide,hide,locatum_out,novel
offerer,strip,hide,hide,locatum_out,novel
statement,contain,material,message,locatum_out,novel
statement,contain,material,message,locatum_out,novel
roar,tear,limb,limb,locatum_out,novel
other,slice,flesh,flesh,locatum_out,novel
wind,strip,bark,bark,locatum_out,novel
Therese,brush,lint,lint,locatum_out,novel
cost,incur,stem,stem,locatum_out,novel
chef,remove,cover,chef,locatum_out,novel
chef,remove,cover,chef,locatum_out,novel
boy,carve,bark,bark,locatum_out,novel
boy,carve,bark,bark,locatum_out,novel
result,present,stem,stem,locatum_out,novel
result,present,stem,stem,locatum_out,novel
mill,remove,bark,bark,locatum_out,novel
worker,scrape,flesh,flesh,locatum_out,novel
lover,come,limb,lover,locatum_out,novel
lover,come,limb,lover,locatum_out,novel
bear,peel,bark,bark,locatum_out,novel
bear,peel,bark,bark,locatum_out,novel
podiatrist,see,stem,stem,locatum_out,novel
point,address,stem,stem,locatum_out,novel
church,take,material,church,locatum_out,novel
area,showcase,material,showcase,locatum_out,novel
area,showcase,material,showcase,locatum_out,novel
Wookies,tear,limb,limb,locatum_out,novel
toade,gnaw,flesh,flesh,locatum_out,novel
member,strip,bark,bark,locatum_out,novel
option,offer,stem,stem,locatum_out,novel
showcase,contain,material,showcase,locatum_out,novel
Jesus,take,flesh,flesh,locatum_out,novel
topic,cover,stem,stem,locatum_out,novel
Mars,untangle,limb,limb,locatum_out,novel
case,include,member,case,locatum_out,novel
case,include,member,case,locatum_out,novel
ice,involve,member,ice,locatum_out,novel
card,follow,theme,card,locatum_out,novel
card,follow,theme,card,locatum_out,novel
Jews,throw,lint,lint,locatum_out,novel
Son,take,flesh,flesh,locatum_out,novel
Son,take,flesh,flesh,locatum_out,novel
cabbage,cut,rind,rind,locatum_out,novel
performer,face,stem,stem,locatum_out,novel
Harawira,take,bark,bark,locatum_out,novel
leadership,eject,member,church,locatum_out,novel
Packers,take,hide,hide,locatum_out,novel
Packers,take,hide,hide,locatum_out,novel
machine,rub,bark,bark,locatum_out,novel
machine,rub,bark,bark,locatum_out,novel
church,cover,member,church,locatum_out,novel
difficulty,encounter,stem,stem,locatum_out,novel
Hunn,source,material,flea,locatum_out,novel
yurt,use,hide,hide,locatum_out,novel
Word,take,flesh,flesh,locatum_out,novel
Word,take,flesh,flesh,locatum_out,novel
pet,bring,flea,flea,locatum_out,novel
native,use,bark,bark,locatum_out,novel
people,remove,bark,bark,locatum_out,novel
chair,collect,material,chair,locatum_out,novel
chair,collect,material,chair,locatum_out,novel
website,leave,dot,map,location_on,established
website,leave,dot,map,location_on,established
Waste,comprise,frontrunner,field,location_on,established
Americans,overestimate,ability,water,location_on,established
Americans,overestimate,ability,water,location_on,established
operation,include,change,inventory,location_on,established
youth,enjoy,fun,sun,location_on,established
characteristic,cause,difference,park,location_on,established
NASA,send,ant,orbit,location_on,established
pupil,type,answer,type,location_on,established
programme,teach,knowledge,field,location_on,established
study,perform,research,form,location_on,established
study,perform,research,form,location_on,established
Kelley,want,people,people,location_on,established
boss,call,Dujardin,boss,location_on,established
form,find,way,form,location_on,established
form,find,way,form,location_on,established
scandal,take,place,field,location_on,established
rape,take,place,house,location_on,established
exercise,fix,subject,head,location_on,established
filmmaker,play,father,father,location_on,established
God,bless,troop,field,location_on,established
course,take,place,form,location_on,established
course,take,place,form,location_on,established
Jogjakarta,share,pride,share,location_on,established
Rizaeli,plant,spinach,sack,location_on,established
contribution,comprise,information,map,location_on,established
law,bring,state,line,location_on,established
people,change,thing,people,location_on,established
people,change,thing,people,location_on,established
light,start,twist,water,location_on,established
third,take,place,house,location_on,established
mom,find,something,room,location_on,established
mom,find,something,room,location_on,established
Shareski,hit,nail,head,location_on,established
membrane,cover,pit,cover,location_on,established
DOC,get,egg,face,location_on,established
DOC,get,egg,face,location_on,established
body,find,comfort,bed,location_on,established
expert,summarize,thought,book,location_on,established
line,manage,replacement,line,location_on,established
state,see,advance,see,location_on,established
state,see,advance,see,location_on,established
seal,bear,monument,seal,location_on,established
girl,carry,water,water,location_on,established
LORD,send,rain,land,location_on,established
LORD,send,rain,land,location_on,established
Mills,offer,class,book,location_on,established
Buddha,write,teaching,book,location_on,established
consultation,take,place,form,location_on,established
consultation,take,place,form,location_on,established
energy,explain,inclusion,list,location_on,established
Tech,spread,material,farm,location_on,established
year,see,increase,see,location_on,established
Federation,identify,landmark,map,location_on,established
US,put,Libya,list,location_on,established
US,put,Libya,list,location_on,established
lawmaker,change,focus,water,location_on,established
parent,lose,interest,parent,location_on,established
service,employ,people,people,location_on,established
Bryant,see,flash,see,location_on,established
crew,use,trick,book,location_on,established
child,spend,time,child,location_on,established
child,spend,time,child,location_on,established
medium,blame,loss,field,location_on,established
medium,blame,loss,field,location_on,established
soldier,seize,position,soldier,location_on,established
website,leave,dot,map,location_on,established
website,leave,dot,map,location_on,established
Waste,comprise,frontrunner,field,location_on,established
Americans,overestimate,ability,water,location_on,established
Americans,overestimate,ability,water,location_on,established
operation,include,change,inventory,location_on,established
