utterance,year,relation,target,object,verb
put_vvg a_at1 person_nn1 on_ii its_appge cover_nn1 ,1984,location_on,cover,person,put
put_vvd_vv0 leavitt_np1 on_ii its_appge cover_nn1 ,1984,location_on,cover,leavitt,put
be_vbz moisture_nn1 on_ii the_at cover_nn1 ,1985,location_on,cover,moisture,be
get_vvi cyndi_np1 on_ii the_at cover_nn1 ,1985,location_on,cover,cyndi,get
have_vhd symbol_nn2 on_ii the_at cover_nn1 ,1986,location_on,cover,symbol,have
lift_vvg the_at cover_nn1 from_ii the_at pan_nn1 ,1987,locatum_out,cover,pan,lift
spill_vvn honey_nn1 on_ii the_at cover_nn1 ,1987,location_on,cover,honey,spill
get_vvi her_appge photograph_nn1 on_ii the_at cover_nn1 ,1988,location_on,cover,photograph,get
leave_vv0 the_at cover_nn2 on_ii the_at frame_nn2 ,1988,locatum_on,cover,frame,leave
put_vv0_vvd the_at cover_nn1 on_ii the_at box_nn1 ,1989,locatum_on,cover,box,put
use_vvg the_at cart_nn1 as_ii_csa a_at1 cover_nn1 ,1989,agent,cover,cart,use
put_vvi celebrity_nn2 on_ii the_at cover_nn1 ,1989,location_on,cover,celebrity,put
throw_vvd the_at cover_nn2 from_ii his_appge side_nn1 ,1990,locatum_out,cover,side,throw
draw_vvn a_at1 hand_nn1 from_ii the_at cover_nn1 ,1990,location_out,cover,hand,draw
fasten_vvg the_at snap_nn2 on_ii the_at cover_nn1 ,1992,location_on,cover,snap,fasten
be_vbr cover_nn2 from_ii the_at new_np1 ,1992,locatum_out,cover,new,be
use_vv0 democracy_nn1 as_ii_csa a_at1 cover_nn1 ,1992,agent,cover,democracy,use
know_vv0 the_at place_nn1 with_iw the_at cover_nn1 ,1992,instrument,cover,place,know
judge_vvi a_at1 book_nn1 by_ii its_appge cover_nn1 ,1993,instrument,cover,book,judge
break_vvi cover_nn1_vv0 on_ii the_at lake_nn1 ,1993,locatum_on,cover,lake,break
fit_vv0 the_at cover_nn1 on_ii the_at tub_nn1 ,1993,locatum_on,cover,tub,fit
promote_vvi arminianism_nn1 as_ii_csa a_at1 cover_nn1 ,1996,agent,cover,arminianism,promote
use_vvg journalism_nn1 as_ii_csa a_at1 cover_nn1 ,1996,agent,cover,journalism,use
use_vvg islam_nn1 as_ii_csa a_at1 cover_nn1 ,1997,agent,cover,islam,use
leave_vv0 the_at cover_nn1 on_ii the_at pan_nn1 ,1997,locatum_on,cover,pan,leave
see_vvg the_at watchtower_nn1_np1 on_ii the_at cover_nn1 ,1997,location_on,cover,watchtower,see
lift_vvd a_at1 cover_nn1 from_ii a_at1 bowl_nn1 ,1998,locatum_out,cover,bowl,lift
love_vv0_nn1 hewitt_np1 on_ii their_appge cover_nn2 ,1998,location_on,cover,hewitt,love
judge_vvi a_at1 lover_nn1 by_ii his_appge cover_nn1 ,1998,instrument,cover,lover,judge
replace_vvd_vvn the_at cover_nn1 on_ii the_at pot_nn1 ,1998,locatum_on,cover,pot,replace
see_vvi minnie_np1 on_ii your_appge cover_nn1 ,1999,location_on,cover,minnie,see
congratulate_vvi her_appge father_nn1 on_ii his_appge cover_nn1 ,1999,location_on,cover,father,congratulate
rest_vvz her_appge hand_nn1 on_ii the_at cover_nn1 ,2000,location_on,cover,hand,rest
see_vvd her_appge_ppho1 face_nn1 on_ii the_at cover_nn1 ,2000,location_on,cover,face,see
discount_vvi the_at woman_nn2 on_ii the_at cover_nn1 ,2001,location_on,cover,woman,discount
jj_vvn religion_nn1 as_ii_csa a_at1 cover_nn1 ,2001,agent,cover,religion,jj
know_vvd bullshit_nn1 by_ii its_appge cover_nn1 ,2002,instrument,cover,bullshit,know
wrench_vvg the_at cover_nn1 from_ii the_at communicator_nn1 ,2002,locatum_out,cover,communicator,wrench
see_vv0 ashley_np1 on_ii the_at cover_nn1 ,2003,location_on,cover,ashley,see
put_vv0_vvd the_at topic_nn1 on_ii the_at cover_nn1 ,2004,location_on,cover,topic,put
rip_vvd the_at cover_nn2 from_ii the_at bed_nn1 ,2004,locatum_out,cover,bed,rip
separate_vv0 the_at cover_nn1 from_ii the_at body_nn1 ,2005,locatum_out,cover,body,separate
see_vv0 the_at woman_nn1 on_ii the_at cover_nn1 ,2006,location_on,cover,woman,see
judge_vvi a_at1 book_nn1 by_ii the_at cover_nn1 ,2006,instrument,cover,book,judge
be_vbdz an_at1 illustration_nn1 by_ii the_at cover_nn1 ,2007,instrument,cover,illustration,be
include_vvi her_appge name_nn1 on_ii the_at cover_nn1 ,2007,location_on,cover,name,include
have_vhz his_appge picture_nn1 on_ii the_at cover_nn1 ,2007,location_on,cover,picture,have
parody_vvd thomas_np1 on_ii its_appge cover_nn1 ,2007,location_on,cover,thomas,parody
have_vhi their_appge child_nn1 on_ii our_appge cover_nn1 ,2007,location_on,cover,child,have
tap_vvg a_at1 fingernail_nn1 on_ii the_at cover_nn1 ,2007,location_on,cover,fingernail,tap
read_vv0_vvd the_at title_nn1 on_ii the_at cover_nn1 ,2008,location_on,cover,title,read
judge_vvi a_at1 book_nn1 by_ii its_appge cover_nn1 ,2008,instrument,cover,book,judge
judge_vv0 a_at1 book_nn1 by_ii its_appge cover_nn1 ,2009,instrument,cover,book,judge
see_vvi a_at1 man_nn1 on_ii your_appge cover_nn1 ,2009,location_on,cover,man,see
keep_vv0 pace_nn1 with_iw the_at decline_nn1 ,1851,instrument,decline,pace,keep
vvd_vvn pace_nn1 with_iw the_at decline_nn1 ,1883,instrument,decline,pace,vvd
make_vvi a_at1 profit_nn1 on_ii a_at1 decline_nn1 ,1900,location_on,decline,profit,make
attack_vvg an_at1 empire_nn1 on_ii the_at decline_nn1 ,1912,location_on,decline,empire,attack
challenge_vvi the_at imagination_nn1 like_ii the_at decline_nn1 ,1921,agent,decline,imagination,challenge
show_vvd a_at1 decline_nn1 from_ii the_at town_nn1 ,1980,locatum_out,decline,town,show
be_vbz crime_nn1 on_ii the_at decline_nn1 ,1983,location_on,decline,crime,be
set_vv0_vvd the_at seal_nn1 on_ii its_appge decline_nn1 ,1984,location_on,decline,seal,set
spur_vvg their_appge rise_nn1 be_vbdz a_at1 decline_nn1 ,1997,goal,decline,rise,spur
buy_vvi stock_nn2 on_ii every_at1 decline_nn1 ,2000,location_on,decline,stock,buy
worsen_vvd_vvn the_at decline_nn1 from_ii a_at1 year_nnt1 ,2001,locatum_out,decline,year,worsen
color_vvg their_appge dog_nn2 with_iw the_at dye_nn1 ,1883,instrument,dye,dog,color
have_vhz no_at effect_nn1 on_ii the_at dye_nn1 ,1934,location_on,dye,effect,have
remove_vv0 the_at wool_nn1 from_ii the_at dye_nn1 ,1958,location_out,dye,wool,remove
empty_vvi the_at dye_nn1 from_ii the_at bladder_nn1 ,1980,locatum_out,dye,bladder,empty
put_vv0_vvd my_appge dye_nn1 on_ii his_appge shoe_nn1 ,1993,locatum_on,dye,shoe,put
use_vvg a_at1 paddle_nn1 with_iw the_at ease_nn1 ,1845,instrument,ease,paddle,use
maintain_vvg his_appge balance_nn1 with_iw the_at ease_nn1 ,1858,instrument,ease,balance,maintain
be_vbdz the_at change_nn1 from_ii the_at ease_nn1 ,1861,location_out,ease,change,be
play_vvi its_appge part_nn1 with_iw the_at ease_nn1 ,1864,instrument,ease,part,play
direct_vvg the_at animal_nn1 with_iw the_at ease_nn1 ,1873,instrument,ease,animal,direct
rest_vvi the_at ease_nn1 on_ii the_at report_nn1 ,1875,locatum_on,ease,report,rest
take_vvg his_appge ease_nn1 on_ii the_at sofa_nn1 ,1878,locatum_on,ease,sofa,take
draw_vv0 company_nn1 from_ii their_appge ease_nn1 ,1881,location_out,ease,company,draw
draw_vv0 company_nn1 from_ii their_appge ease_nn1 ,1882,location_out,ease,company,draw
perform_vvn miracle_nn2 with_iw the_at ease_nn1 ,1896,instrument,ease,miracle,perform
tap_vvi the_at floor_nn1 with_iw the_at ease_nn1 ,1897,instrument,ease,floor,tap
wear_vvn his_appge laurel_nn2 with_iw an_at1 ease_nn1 ,1899,instrument,ease,laurel,wear
find_vvg no_at ease_nn1 from_ii the_at pang_nn2 ,1899,locatum_out,ease,pang,find
cause_vvz its_appge spread_nn1 be_vbz the_at ease_nn1 ,1909,goal,ease,spread,cause
touch_vvd his_appge hat_nn1 with_iw the_at ease_nn1 ,1916,instrument,ease,hat,touch
put_vv0_vvd the_at ease_nn1 on_ii the_at basis_nn1 ,1921,locatum_on,ease,basis,put
collect_vvg the_at specimen_nn2 be_vbdz the_at ease_nn1 ,1928,goal,ease,specimen,collect
take_vvg your_appge ease_nn1 on_ii the_at flat_nn1 ,1932,locatum_on,ease,flat,take
take_vvg his_appge ease_nn1 on_ii a_at1 cottage_nn1 ,1939,locatum_on,ease,cottage,take
lose_vvn money_nn1 with_iw an_at1 ease_nn1 ,1939,instrument,ease,money,lose
take_vvg his_appge ease_nn1 on_ii a_at1 street_nn1 ,1945,locatum_on,ease,street,take
handle_vvg the_at car_nn1 with_iw the_at ease_nn1 ,1952,instrument,ease,car,handle
manipulate_vvg his_appge control_nn2 with_iw the_at ease_nn1 ,1957,instrument,ease,control,manipulate
destroy_vvd_vvn kennedy_np1 with_iw the_at ease_nn1 ,1963,instrument,ease,kennedy,destroy
handle_vvi his_appge material_nn2 with_iw their_appge ease_nn1 ,1972,instrument,ease,material,handle
take_vvg their_appge ease_nn1 on_ii the_at pier_nn1 ,1973,locatum_on,ease,pier,take
remove_vvg her_appge clothing_nn1 with_iw the_at ease_nn1 ,1986,instrument,ease,clothing,remove
sit_vvg his_appge saddle_nn1 with_iw the_at ease_nn1 ,1999,instrument,ease,saddle,sit
skim_vvd the_at wave_nn2 with_iw the_at ease_nn1 ,2002,instrument,ease,wave,skim
control_vvd his_appge irritation_nn1 with_iw the_at ease_nn1 ,2003,instrument,ease,irritation,control
handle_vvd the_at weapon_nn1 with_iw an_at1 ease_nn1 ,2009,instrument,ease,weapon,handle
be_vbi the_at case_nn1 with_iw their_appge endeavor_nn2 ,1851,instrument,endeavor,case,be
manifest_vv0 no_at sympathy_nn1 with_iw the_at endeavor_nn1 ,1862,instrument,endeavor,sympathy,manifest
prove_vvd_vvn his_appge truth_nn1 by_ii his_appge endeavor_nn1 ,1864,instrument,endeavor,truth,prove
prevent_vvi war_nn1 be_vbdz their_appge endeavor_nn1 ,1917,goal,endeavor,war,prevent
welcome_vvg the_at exhibition_nn1 as_ii_csa an_at1 endeavor_nn1 ,1925,agent,endeavor,exhibition,welcome
support_vvi nansei_np1 be_vbz every_at1 endeavor_nn1 ,2002,goal,endeavor,nansei,support
wield_vvg power_nn1 through_ii the_at esteem_nn1 ,1818,instrument,esteem,power,wield
enjoy_vvn the_at esteem_nn1 on_ii the_at continent_nn1 ,1990,locatum_on,esteem,continent,enjoy
write_vvd observation_nn2 on_ii the_at finance_nn2 ,1832,location_on,finance,observation,write
read_vvn your_appge speech_nn1 on_ii the_at finance_nn2 ,1869,location_on,finance,speech,read
receive_vvd a_at1 reply_nn1 from_ii the_at finance_nn1 ,1896,location_out,finance,reply,receive
help_vvn the_at appropriation_nn1 through_ii the_at finance_nn1 ,1896,instrument,finance,appropriation,help
tell_vvd_vvn the_at officer_nn2 on_ii the_at finance_nn1 ,1908,location_on,finance,officer,tell
have_vhg its_appge effect_nn1 on_ii the_at finance_nn2 ,1913,location_on,finance,effect,have
base_vvi its_appge finance_nn1 on_ii a_at1 rate_nn1 ,1917,locatum_on,finance,rate,base
lay_vvd hold_nn1_vv0 on_ii the_at finance_nn2 ,1921,location_on,finance,hold,lay
surround_vvd_vvn the_at world_nn1 with_iw its_appge finance_nn1 ,1932,instrument,finance,world,surround
rank_vvg_nn1 democrat_nn1 on_ii the_at finance_nn1 ,1932,location_on,finance,democrat,rank
push_vvi the_at bill_nn1 through_ii the_at finance_nn1 ,1932,instrument,finance,bill,push
rank_vvg_nn1 democrat_nn1 on_ii the_at finance_nn1 ,1933,location_on,finance,democrat,rank
put_vvd_vv0 its_appge finance_nn2 on_ii a_at1 cash_nn1 ,1942,locatum_on,finance,cash,put
file_vvi information_nn1 on_ii their_appge finance_nn2 ,1944,location_on,finance,information,file
supply_vvn data_nn on_ii the_at finance_nn2 ,1952,location_on,finance,data,supply
rank_vvg_nn1 democrat_nn1 on_ii the_at finance_nn1 ,1953,location_on,finance,democrat,rank
make_vvi no_at suggestion_nn2 on_ii the_at finance_nn1 ,1956,location_on,finance,suggestion,make
make_vvi news_nn1 with_iw his_appge finance_nn2 ,1959,instrument,finance,news,make
demand_vvd action_nn1 from_ii his_appge finance_nn1 ,1959,location_out,finance,action,demand
defeat_vvg their_appge government_nn1 through_ii the_at finance_nn1 ,1964,instrument,finance,government,defeat
speed_vvi the_at plan_nn1 through_ii the_at finance_nn1 ,1974,instrument,finance,plan,speed
get_vvi a_at1 job_nn1 with_iw a_at1 finance_nn1 ,1977,instrument,finance,job,get
wreak_vv0 havoc_nn1 on_ii your_appge finance_nn2 ,1999,location_on,finance,havoc,wreak
be_vbi a_at1 problem_nn1 with_iw my_appge finance_nn2 ,2004,instrument,finance,problem,be
have_vh0 an_at1 appointment_nn1 with_iw the_at finance_nn1 ,2006,instrument,finance,appointment,have
keep_vvi an_at1 eye_nn1 on_ii their_appge finance_nn2 ,2006,location_on,finance,eye,keep
be_vbn its_appge gain_nn1 from_ii a_at1 father_nn1 ,1836,locatum_out,gain,father,be
sully_vv0 his_appge hand_nn2 with_iw the_at gain_nn2 ,1840,instrument,gain,hand,sully
derive_vvi gain_nn1_vv0 from_ii the_at industry_nn1 ,1842,locatum_out,gain,industry,derive
derive_vvi gain_nn1_vv0 from_ii the_at connection_nn1 ,1863,locatum_out,gain,connection,derive
make_vv0 war_nn1 on_ii our_appge gain_nn2 ,1865,location_on,gain,war,make
depreciate_vvi the_at currency_nn1 be_vbz the_at gain_nn1 ,1868,goal,gain,currency,depreciate
neutralize_vv0 the_at gain_nn1 on_ii the_at sale_nn1 ,1868,locatum_on,gain,sale,neutralize
show_vvd no_at gain_nn1 on_ii the_at day_nnt1 ,1929,locatum_on,gain,day,show
represent_vvd_vvn a_at1 gain_nn1 on_ii the_at year_nnt1 ,1941,locatum_on,gain,year,represent
increase_vvi the_at gain_nn2 from_ii the_at use_nn1 ,1942,locatum_out,gain,use,increase
be_vbi gain_nn1 from_ii an_at1 attempt_nn1 ,1945,locatum_out,gain,attempt,be
derive_vvd gain_nn1 from_ii the_at development_nn1 ,1956,locatum_out,gain,development,derive
complete_vvi the_at year_nnt1 with_iw a_at1 gain_nn1 ,1957,instrument,gain,year,complete
market_vvi trader_nn2 be_vbdz the_at gain_nn1 ,1959,goal,gain,trader,market
incur_vvz a_at1 tax_nn1 on_ii a_at1 gain_nn1 ,1959,location_on,gain,tax,incur
ii_vvg gain_nn2 on_ii the_at sale_nn1 ,1985,locatum_on,gain,sale,ii
pay_vvi tax_nn2 on_ii your_appge gain_nn2 ,1991,location_on,gain,tax,pay
pay_vv0 no_at tax_nn2 on_ii your_appge gain_nn2 ,2007,location_on,gain,tax,pay
pluck_vvd her_appge gown_nn1 from_ii his_appge grasp_nn1 ,1822,location_out,grasp,gown,pluck
extricate_vvg the_at limb_nn1 from_ii his_appge grasp_nn1 ,1826,location_out,grasp,limb,extricate
withdraw_vvd her_appge hand_nn1 from_ii the_at grasp_nn1 ,1831,location_out,grasp,hand,withdraw
wrest_vvn the_at sceptre_nn1 from_ii the_at grasp_nn1 ,1832,location_out,grasp,sceptre,wrest
seize_vvg the_at child_nn1 with_iw a_at1 grasp_nn1 ,1833,instrument,grasp,child,seize
snatch_vvi the_at treasure_nn1 from_ii his_appge grasp_nn1 ,1833,location_out,grasp,treasure,snatch
wrest_vvi the_at weapon_nn1 from_ii his_appge grasp_nn1 ,1834,location_out,grasp,weapon,wrest
loose_vvg the_at talisman_nn1 from_ii his_appge grasp_nn1 ,1834,location_out,grasp,talisman,loose
leave_vvg his_appge grasp_nn1 on_ii the_at throat_nn1 ,1835,locatum_on,grasp,throat,leave
remove_vvg the_at rapier_nn1 from_ii his_appge grasp_nn1 ,1835,location_out,grasp,rapier,remove
withdraw_vvd her_appge arm_nn1 from_ii his_appge grasp_nn1 ,1837,location_out,grasp,arm,withdraw
wrench_vvd his_appge sword_nn1 from_ii his_appge grasp_nn1 ,1838,location_out,grasp,sword,wrench
snatch_vvi the_at citadel_nn1 from_ii their_appge grasp_nn1 ,1838,location_out,grasp,citadel,snatch
wrest_vvi the_at cutlass_nn1 from_ii his_appge grasp_nn1 ,1839,location_out,grasp,cutlass,wrest
strike_vvd_vvn the_at weapon_nn1 from_ii her_appge grasp_nn1 ,1839,location_out,grasp,weapon,strike
go_vvi his_appge grasp_nn1 on_ii the_at point_nn1 ,1839,locatum_on,grasp,point,go
relax_vvd her_appge hand_nn1 from_ii its_appge grasp_nn1 ,1839,location_out,grasp,hand,relax
hurl_vvz the_at sceptre_nn1 from_ii her_appge grasp_nn1 ,1839,location_out,grasp,sceptre,hurl
lift_vvn_vvd arm_nn1 with_iw a_at1 grasp_nn1 ,1840,instrument,grasp,arm,lift
rescue_vvg his_appge sister_nn1 from_ii the_at grasp_nn1 ,1840,location_out,grasp,sister,rescue
hold_vvg his_appge grasp_nn1 on_ii the_at vine_nn1 ,1840,locatum_on,grasp,vine,hold
wrench_vvg his_appge gun_nn1 from_ii the_at grasp_nn1 ,1840,location_out,grasp,gun,wrench
take_vvd the_at weapon_nn1 from_ii its_appge grasp_nn1 ,1842,location_out,grasp,weapon,take
hold_vvd his_appge arm_nn1 with_iw the_at grasp_nn1 ,1842,instrument,grasp,arm,hold
wrest_vvd the_at weapon_nn1 from_ii his_appge grasp_nn1 ,1843,location_out,grasp,weapon,wrest
dismiss_vvd_vvn her_appge hand_nn1 from_ii his_appge grasp_nn1 ,1843,location_out,grasp,hand,dismiss
tear_vvn the_at criminal_nn1_jj from_ii their_appge grasp_nn1 ,1843,location_out,grasp,criminal,tear
unwind_vvd the_at dagger_nn1 from_ii the_at grasp_nn1 ,1844,location_out,grasp,dagger,unwind
force_vvg a_at1 musket_nn1 from_ii the_at grasp_nn1 ,1844,location_out,grasp,musket,force
snatch_vvg the_at stick_nn1 from_ii the_at grasp_nn1 ,1845,location_out,grasp,stick,snatch
hold_vv0 principle_nn1 with_iw a_at1 grasp_nn1 ,1845,instrument,grasp,principle,hold
wrest_vvi his_appge sceptre_nn1 from_ii his_appge grasp_nn1 ,1847,location_out,grasp,sceptre,wrest
wrench_vvd the_at weapon_nn1 from_ii his_appge grasp_nn1 ,1847,location_out,grasp,weapon,wrench
clutch_vvd his_appge throat_nn1 with_iw a_at1 grasp_nn1 ,1847,instrument,grasp,throat,clutch
dash_vvd her_appge arm_nn2 from_ii his_appge grasp_nn1 ,1848,location_out,grasp,arm,dash
dash_vvd_vvn the_at phial_nn1 from_ii my_appge grasp_nn1 ,1848,location_out,grasp,phial,dash
withdraw_vvi her_appge hand_nn1 from_ii his_appge grasp_nn1 ,1848,location_out,grasp,hand,withdraw
draw_vvd his_appge hand_nn1 from_ii her_appge grasp_nn1 ,1848,location_out,grasp,hand,draw
free_vvi his_appge knee_nn2 from_ii the_at grasp_nn1 ,1849,location_out,grasp,knee,free
tear_vvd his_appge wrist_nn1 from_ii the_at grasp_nn1 ,1849,location_out,grasp,wrist,tear
rescue_vvi liberty_nn1 from_ii the_at grasp_nn1 ,1852,location_out,grasp,liberty,rescue
wrench_vvg the_at weapon_nn1 from_ii her_appge grasp_nn1 ,1852,location_out,grasp,weapon,wrench
rescue_vvd_vvn the_at bill_nn1 from_ii his_appge grasp_nn1 ,1852,location_out,grasp,bill,rescue
clench_vvd their_appge pistol_nn2 with_iw the_at grasp_nn1 ,1852,instrument,grasp,pistol,clench
shake_vvg her_appge grasp_nn1 from_ii my_appge knee_nn2 ,1853,locatum_out,grasp,knee,shake
tear_vvd her_appge hand_nn1 from_ii my_appge grasp_nn1 ,1853,location_out,grasp,hand,tear
have_vhz slipt_nn1 from_ii the_at grasp_nn1 ,1853,location_out,grasp,slipt,have
snatch_vvd_vvn his_appge prize_nn1 from_ii his_appge grasp_nn1 ,1853,location_out,grasp,prize,snatch
rescue_vvd lucy_np1 from_ii his_appge grasp_nn1 ,1855,location_out,grasp,lucy,rescue
withdraw_vvd my_appge arm_nn1 from_ii her_appge grasp_nn1 ,1855,location_out,grasp,arm,withdraw
wring_vvd her_appge hand_nn1 from_ii his_appge grasp_nn1 ,1855,location_out,grasp,hand,wring
withdraw_vvd her_appge hand_nn1 from_ii his_appge grasp_nn1 ,1856,location_out,grasp,hand,withdraw
relieve_vvd our_appge angler_nn1 from_ii his_appge grasp_nn1 ,1856,location_out,grasp,angler,relieve
hold_vvd his_appge arm_nn1 with_iw the_at grasp_nn1 ,1856,instrument,grasp,arm,hold
wrench_vvd her_appge wrist_nn1 from_ii his_appge grasp_nn1 ,1857,location_out,grasp,wrist,wrench
snatch_vv0 the_at prize_nn1 from_ii my_appge grasp_nn1 ,1859,location_out,grasp,prize,snatch
extricate_vvi his_appge arm_nn1 from_ii the_at grasp_nn1 ,1859,location_out,grasp,arm,extricate
rescue_vvg his_appge friend_nn1 from_ii the_at grasp_nn1 ,1860,location_out,grasp,friend,rescue
withdraw_vvg her_appge hand_nn1 from_ii his_appge grasp_nn1 ,1861,location_out,grasp,hand,withdraw
relinquish_vvg his_appge grasp_nn1 on_ii the_at collar_nn1 ,1863,locatum_on,grasp,collar,relinquish
loosen_vvd her_appge_ppho1 grasp_nn1 on_ii her_appge husband_nn1 ,1864,locatum_on,grasp,husband,loosen
wrench_vvd the_at weapon_nn1 from_ii his_appge grasp_nn1 ,1864,location_out,grasp,weapon,wrench
withdraw_vvd her_appge hand_nn1 from_ii his_appge grasp_nn1 ,1865,location_out,grasp,hand,withdraw
hev_vh0 slipt_nn1 from_ii our_appge grasp_nn1 ,1867,location_out,grasp,slipt,hev
wrench_vvi the_at weapon_nn1 from_ii his_appge grasp_nn1 ,1867,location_out,grasp,weapon,wrench
wrench_vvd the_at cowhide_nn1 from_ii his_appge grasp_nn1 ,1868,location_out,grasp,cowhide,wrench
wrench_vvg the_at cowhide_nn1 from_ii my_appge grasp_nn1 ,1868,location_out,grasp,cowhide,wrench
keep_vvd_vvn his_appge grasp_nn1 on_ii the_at rein_nn1 ,1868,locatum_on,grasp,rein,keep
seize_vvg the_at flower_nn2 with_iw a_at1 grasp_nn1 ,1869,instrument,grasp,flower,seize
free_vvd her_appge finger_nn2 from_ii his_appge grasp_nn1 ,1869,location_out,grasp,finger,free
loosen_vvd his_appge grasp_nn1 on_ii the_at man_nn1 ,1871,locatum_on,grasp,man,loosen
drag_vvg her_appge shawl_nn1 from_ii the_at grasp_nn1 ,1871,location_out,grasp,shawl,drag
snatch_vvd_vvn the_at spade_nn1 from_ii his_appge grasp_nn1 ,1871,location_out,grasp,spade,snatch
extricate_vvd his_appge arm_nn1 from_ii her_appge grasp_nn1 ,1871,location_out,grasp,arm,extricate
release_vvd the_at grasp_nn1 on_ii his_appge master_nn1 ,1872,locatum_on,grasp,master,release
tear_vvi your_appge prey_nn1 from_ii your_appge grasp_nn1 ,1872,location_out,grasp,prey,tear
wrest_vvd a_at1 pistol_nn1 from_ii his_appge grasp_nn1 ,1873,location_out,grasp,pistol,wrest
tighten_vvg the_at grasp_nn1 on_ii his_appge stick_nn1 ,1873,locatum_on,grasp,stick,tighten
wrest_vvd the_at pistol_nn1 from_ii his_appge grasp_nn1 ,1874,location_out,grasp,pistol,wrest
extricate_vvi his_appge foot_nn1 from_ii the_at grasp_nn1 ,1875,location_out,grasp,foot,extricate
weaken_vvz its_appge grasp_nn1 on_ii its_appge adherent_nn2 ,1876,locatum_on,grasp,adherent,weaken
rescue_vvi the_at executive_nn1 from_ii their_appge grasp_nn1 ,1876,location_out,grasp,executive,rescue
tear_vvd the_at instrument_nn1 from_ii his_appge grasp_nn1 ,1877,location_out,grasp,instrument,tear
relax_vvn his_appge grasp_nn1 on_ii the_at plough_nn1 ,1879,locatum_on,grasp,plough,relax
strengthen_vvg his_appge grasp_nn1 on_ii the_at chair_nn1 ,1879,locatum_on,grasp,chair,strengthen
relax_vvd his_appge grasp_nn1 on_ii the_at chair_nn1 ,1879,locatum_on,grasp,chair,relax
lose_vvz his_appge grasp_nn1 on_ii the_at reality_nn1 ,1880,locatum_on,grasp,reality,lose
clutch_vvg his_appge treasure_nn2 from_ii his_appge grasp_nn1 ,1881,location_out,grasp,treasure,clutch
wrest_vvi the_at peninsula_nn1 from_ii the_at grasp_nn1 ,1882,location_out,grasp,peninsula,wrest
snatch_vvg her_appge hand_nn1 from_ii his_appge grasp_nn1 ,1883,location_out,grasp,hand,snatch
tighten_vvd his_appge grasp_nn1 on_ii his_appge shoulder_nn1 ,1886,locatum_on,grasp,shoulder,tighten
tighten_vvd_vvn its_appge grasp_nn1 on_ii her_appge shoulder_nn1 ,1886,locatum_on,grasp,shoulder,tighten
tighten_vvd_vvn their_appge grasp_nn1 on_ii his_appge shoulder_nn1 ,1886,locatum_on,grasp,shoulder,tighten
loose_vvd her_appge arm_nn1 from_ii my_appge grasp_nn1 ,1886,location_out,grasp,arm,loose
owe_vvd his_appge exemption_nn1 from_ii the_at grasp_nn1 ,1887,location_out,grasp,exemption,owe
wrest_vvd a_at1 knife_nn1 from_ii his_appge grasp_nn1 ,1887,location_out,grasp,knife,wrest
twist_vvn his_appge guii_nn2_ from_ii his_appge grasp_nn1 ,1888,location_out,grasp,guii,twist
slip_vvd her_appge hand_nn1 from_ii the_at grasp_nn1 ,1889,location_out,grasp,hand,slip
free_vvn my_appge arm_nn1 from_ii his_appge grasp_nn1 ,1889,location_out,grasp,arm,free
gather_vvd strength_nn1 from_ii the_at grasp_nn1 ,1889,location_out,grasp,strength,gather
wring_vvd the_at knife_nn1 from_ii the_at grasp_nn1 ,1889,location_out,grasp,knife,wring
tighten_vvd her_appge_ppho1 grasp_nn1 on_ii the_at handle_nn1 ,1889,locatum_on,grasp,handle,tighten
withdraw_vvi his_appge hand_nn1 from_ii the_at grasp_nn1 ,1889,location_out,grasp,hand,withdraw
withdraw_vvi his_appge hand_nn1 from_ii the_at grasp_nn1 ,1889,location_out,grasp,hand,withdraw
relax_vvi his_appge grasp_nn1 on_ii the_at rein_nn2 ,1890,locatum_on,grasp,rein,relax
free_vvi her_appge hand_nn1 from_ii his_appge grasp_nn1 ,1892,location_out,grasp,hand,free
writhe_vvi her_appge hand_nn1 from_ii his_appge grasp_nn1 ,1893,location_out,grasp,hand,writhe
snatch_vvz the_at basket_nn1 from_ii his_appge grasp_nn1 ,1895,location_out,grasp,basket,snatch
jerk_vvi the_at bridle_nn1 from_ii his_appge grasp_nn1 ,1896,location_out,grasp,bridle,jerk
jerk_vvd the_at bridle_nn1 from_ii the_at grasp_nn1 ,1896,location_out,grasp,bridle,jerk
tighten_vvd his_appge grasp_nn1 on_ii the_at collar_nn1 ,1896,locatum_on,grasp,collar,tighten
seize_vvz the_at pistol_nn1 from_ii her_appge grasp_nn1 ,1896,location_out,grasp,pistol,seize
tighten_vvd_vvn his_appge grasp_nn1 on_ii the_at rein_nn2 ,1897,locatum_on,grasp,rein,tighten
shake_vvg his_appge grasp_nn1 from_ii my_appge arm_nn1 ,1899,locatum_out,grasp,arm,shake
drag_vvi the_at pistol_nn1 from_ii his_appge grasp_nn1 ,1899,location_out,grasp,pistol,drag
knock_vvd his_appge crutch_nn1 from_ii his_appge grasp_nn1 ,1900,location_out,grasp,crutch,knock
tear_vvg her_appge hair_nn1 from_ii his_appge grasp_nn1 ,1900,location_out,grasp,hair,tear
free_vvd my_appge hand_nn2 from_ii his_appge grasp_nn1 ,1900,location_out,grasp,hand,free
tear_vvd inza_np1 from_ii his_appge grasp_nn1 ,1902,location_out,grasp,inza,tear
